Algorithm,Day,Time,Capacity,Trucks,Time_Limit_Mins,Total_Satisfied,Stations_Visited
Greedy Demand,Wednesday,06:00-09:00,20,2,180,67,38
Nearest Neighbor,Wednesday,06:00-09:00,20,3,180,91,85
Greedy Demand,Wednesday,06:00-09:00,20,3,180,86,56
Nearest Neighbor,Wednesday,06:00-09:00,20,4,180,109,109
Greedy Demand,Wednesday,06:00-09:00,20,4,180,112,83
Nearest Neighbor,Wednesday,06:00-09:00,20,5,180,139,129
Greedy Demand,Wednesday,06:00-09:00,20,5,180,131,105
Nearest Neighbor,Wednesday,06:00-09:00,40,1,60,8,10
Greedy Demand,Wednesday,06:00-09:00,40,1,60,12,3
Nearest Neighbor,Wednesday,06:00-09:00,40,2,60,20,20
Greedy Demand,Wednesday,06:00-09:00,40,2,60,30,9
Nearest Neighbor,Wednesday,06:00-09:00,40,3,60,30,28
Greedy Demand,Wednesday,06:00-09:00,40,3,60,37,12
Nearest Neighbor,Wednesday,06:00-09:00,40,4,60,41,36
Greedy Demand,Wednesday,06:00-09:00,40,4,60,51,19
Nearest Neighbor,Wednesday,06:00-09:00,40,5,60,53,44
Greedy Demand,Wednesday,06:00-09:00,40,5,60,64,26
Nearest Neighbor,Wednesday,06:00-09:00,40,1,90,16,15
Greedy Demand,Wednesday,06:00-09:00,40,1,90,24,7
Nearest Neighbor,Wednesday,06:00-09:00,40,2,90,33,29
Greedy Demand,Wednesday,06:00-09:00,40,2,90,49,18
Nearest Neighbor,Wednesday,06:00-09:00,40,3,90,48,42
Greedy Demand,Wednesday,06:00-09:00,40,3,90,71,29
Nearest Neighbor,Wednesday,06:00-09:00,40,4,90,67,55
Greedy Demand,Wednesday,06:00-09:00,40,4,90,87,38
Nearest Neighbor,Wednesday,06:00-09:00,40,5,90,75,65
Greedy Demand,Wednesday,06:00-09:00,40,5,90,92,41
Nearest Neighbor,Wednesday,06:00-09:00,40,1,120,22,20
Greedy Demand,Wednesday,06:00-09:00,40,1,120,37,12
Nearest Neighbor,Wednesday,06:00-09:00,40,2,120,43,38
Greedy Demand,Wednesday,06:00-09:00,40,2,120,67,27
Nearest Neighbor,Wednesday,06:00-09:00,40,3,120,66,56
Greedy Demand,Wednesday,06:00-09:00,40,3,120,87,38
Nearest Neighbor,Wednesday,06:00-09:00,40,4,120,77,71
Greedy Demand,Wednesday,06:00-09:00,40,4,120,97,46
Nearest Neighbor,Wednesday,06:00-09:00,40,5,120,91,88
Greedy Demand,Wednesday,06:00-09:00,40,5,120,115,64
Nearest Neighbor,Wednesday,06:00-09:00,40,1,150,27,25
Greedy Demand,Wednesday,06:00-09:00,40,1,150,45,16
Nearest Neighbor,Wednesday,06:00-09:00,40,2,150,53,48
Greedy Demand,Wednesday,06:00-09:00,40,2,150,80,34
Nearest Neighbor,Wednesday,06:00-09:00,40,3,150,83,71
Greedy Demand,Wednesday,06:00-09:00,40,3,150,92,41
Nearest Neighbor,Wednesday,06:00-09:00,40,4,150,100,91
Greedy Demand,Wednesday,06:00-09:00,40,4,150,115,64
Nearest Neighbor,Wednesday,06:00-09:00,40,5,150,114,109
Greedy Demand,Wednesday,06:00-09:00,40,5,150,134,83
Nearest Neighbor,Wednesday,06:00-09:00,40,1,180,35,30
Greedy Demand,Wednesday,06:00-09:00,40,1,180,52,20
Nearest Neighbor,Wednesday,06:00-09:00,40,2,180,60,56
Greedy Demand,Wednesday,06:00-09:00,40,2,180,87,38
Nearest Neighbor,Wednesday,06:00-09:00,40,3,180,97,85
Greedy Demand,Wednesday,06:00-09:00,40,3,180,106,56
Nearest Neighbor,Wednesday,06:00-09:00,40,4,180,115,109
Greedy Demand,Wednesday,06:00-09:00,40,4,180,132,83
Nearest Neighbor,Wednesday,06:00-09:00,40,5,180,145,129
Greedy Demand,Wednesday,06:00-09:00,40,5,180,151,105
Nearest Neighbor,Thursday,06:00-09:00,20,1,60,11,10
Greedy Demand,Thursday,06:00-09:00,20,1,60,13,3
Nearest Neighbor,Thursday,06:00-09:00,20,2,60,20,20
Greedy Demand,Thursday,06:00-09:00,20,2,60,30,9
Nearest Neighbor,Thursday,06:00-09:00,20,3,60,32,28
Greedy Demand,Thursday,06:00-09:00,20,3,60,39,13
Nearest Neighbor,Thursday,06:00-09:00,20,4,60,40,36
Greedy Demand,Thursday,06:00-09:00,20,4,60,54,21
Nearest Neighbor,Thursday,06:00-09:00,20,5,60,50,44
Greedy Demand,Thursday,06:00-09:00,20,5,60,67,28
Nearest Neighbor,Thursday,06:00-09:00,20,1,90,17,15
Greedy Demand,Thursday,06:00-09:00,20,1,90,25,7
Nearest Neighbor,Thursday,06:00-09:00,20,2,90,31,29
Greedy Demand,Thursday,06:00-09:00,20,2,90,49,18
Nearest Neighbor,Thursday,06:00-09:00,20,3,90,41,42
Greedy Demand,Thursday,06:00-09:00,20,3,90,69,30
Nearest Neighbor,Thursday,06:00-09:00,20,4,90,57,55
Greedy Demand,Thursday,06:00-09:00,20,4,90,86,39
Nearest Neighbor,Thursday,06:00-09:00,20,5,90,64,65
Greedy Demand,Thursday,06:00-09:00,20,5,90,97,48
Nearest Neighbor,Thursday,06:00-09:00,20,1,120,22,20
Greedy Demand,Thursday,06:00-09:00,20,1,120,35,11
Nearest Neighbor,Thursday,06:00-09:00,20,2,120,40,38
Greedy Demand,Thursday,06:00-09:00,20,2,120,63,28
Nearest Neighbor,Thursday,06:00-09:00,20,3,120,61,56
Greedy Demand,Thursday,06:00-09:00,20,3,120,86,40
